"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cluster","gene_name"
"ENSG00000171161",742.425823858055,-0.37187924466096,0.19941502502976,17.5657571692867,0.000153336058475119,0.00473693068533944,1,"ZNF672"
"ENSG00000171222",1249.70032943835,-0.0594329409671187,0.134778220061303,23.1460895147046,9.41652194950386e-06,0.00101221248442336,1,"SCAND1"
"ENSG00000171401",8902.23409651799,-0.202628579936544,0.583604675169814,23.1113451963874,9.58153644660193e-06,0.0010230380089194,1,"KRT13"
"ENSG00000171466",670.61956178824,-0.433839832845593,0.178269051118419,12.6755695318843,0.00176821491138261,0.0193250782740031,1,"ZNF562"
"ENSG00000171476",2063.61682442931,0.431116112086843,0.578590681316634,27.8708921378459,8.86977635210177e-07,0.00036181864611689,1,"HOPX"
"ENSG00000171552",5707.92539665677,-0.381166427758294,0.242337990517725,18.8056900103799,8.24890496300761e-05,0.00346258124159599,1,"BCL2L1"
"ENSG00000171711",355.46858083655,-0.875849991251044,0.809187534280666,13.9113247381555,0.000953222346760509,0.0135682319722156,1,"DEFB4A"
"ENSG00000172005",6446.05144626367,-0.588899879960263,0.755855410417183,22.1432181973022,1.55475249586903e-05,0.0013260440369233,1,"MAL"
"ENSG00000172006",161.374694522608,-0.643411098965746,0.239389405260196,17.628426262145,0.000148605839293491,0.00470950258430307,1,"ZNF554"
"ENSG00000172175",825.180373266706,-0.366337416249997,0.295474082461503,12.8954557256313,0.00158411741482594,0.0180787115871347,1,"MALT1"
"ENSG00000172379",140.845868954598,-0.938398286788369,0.53498306755895,15.0199477925978,0.000547595382793756,0.00978842128636614,1,"ARNT2"
"ENSG00000172380",3093.19346414836,-0.261995614887106,0.189425146325447,9.94356432813481,0.00693078522535338,0.043003846392413,1,"GNG12"
"ENSG00000172382",2732.10864697105,-0.371695958921523,0.684563911928537,18.7068582137705,8.66677160964267e-05,0.00356278215859962,1,"PRSS27"
"ENSG00000172409",408.603926132635,-0.188531440702582,0.199979919318533,15.1460080658665,0.000514145616044599,0.00940177310994659,1,"CLP1"
"ENSG00000172432",1753.71762860238,-0.434604125074395,0.313428932990769,11.6970605047962,0.00288413499501257,0.0252264425388025,1,"GTPBP2"
"ENSG00000172478",993.108188635647,-0.532536795362023,0.415511001759816,12.0124256013779,0.00246339992306293,0.0228746597926926,1,"MAB21L4"
"ENSG00000172493",2473.14352383332,-0.575627625124795,0.209638647178944,9.56711311443337,0.00836619115478822,0.0480730228279852,1,"AFF1"
"ENSG00000172551",351.089324946663,-1.55101015894254,0.454094266245726,26.0775164807691,2.17439902840212e-06,0.000624658242081005,1,"MUCL1"
"ENSG00000172780",256.186825835715,-0.398362469613884,0.299200374737056,12.8141354533489,0.0016498552426024,0.0185563894297109,1,"RAB43"
"ENSG00000172818",914.586197130173,0.132072352016505,0.488900226513739,19.8573272839623,4.87569092683644e-05,0.00247917099994978,1,"OVOL1"
"ENSG00000172819",1720.82363929123,-0.295453952596952,0.239942670413064,12.9693214081476,0.00152667867463476,0.0176713025044823,1,"RARG"
"ENSG00000172927",399.516818684757,-0.511236278920305,0.376746947940422,14.7332823202111,0.000631987362472247,0.0105060469692487,1,"MYEOV"
"ENSG00000173083",1632.43691621796,-0.348722685146923,0.35830951326501,14.5148563527659,0.000704918632728013,0.0113163981110696,1,"HPSE"
"ENSG00000173153",1596.9631124846,-0.103092150674952,0.132743422072519,9.64088604455378,0.00806321416420624,0.046948496535665,1,"ESRRA"
"ENSG00000173156",1071.56535079482,-0.0719247654160421,0.26777529969062,31.6928004678238,1.31218727056412e-07,0.000115975484930026,1,"RHOD"
"ENSG00000173210",386.83725998419,-0.743283788508539,0.576714672948531,11.4396394437376,0.00328030221579471,0.0272583016288059,1,"ABLIM3"
"ENSG00000173548",1391.61589898555,-0.499116310528832,0.20977429866514,20.4890848221094,3.55509950819016e-05,0.00208261649080129,1,"SNX33"
"ENSG00000173706",573.888976053678,-0.952708078505702,0.377730010449967,19.7014682622362,5.27084838702604e-05,0.00255652216430479,1,"HEG1"
"ENSG00000173801",14631.0262255862,-0.360282035948271,0.236910101760795,21.2615211369736,2.41612470846716e-05,0.00167852087279494,1,"JUP"
"ENSG00000173926",573.085703083366,-0.514080662917934,0.322487142380888,15.6845186306547,0.000392780622144307,0.00825064366694738,1,"MARCHF3"
"ENSG00000173933",187.416105232068,-0.557942075636744,0.227423158177966,17.1502277708352,0.000188744957501172,0.0053240133490889,1,"RBM4"
"ENSG00000174013",428.260465472601,-0.106654168791198,0.16799387864801,17.5268367282151,0.000156349235443003,0.00478538258597449,1,"FBXO45"
"ENSG00000174106",894.683666082663,-0.0827629932791218,0.129893736201766,15.941629455543,0.000345397466320758,0.00757482148158262,1,"LEMD3"
"ENSG00000174145",17.2036080551535,-1.53266439792965,0.975493666749077,15.8267935218021,0.000365809899086687,0.00789438109995391,1,"NWD2"
"ENSG00000174292",723.241411986684,-0.363913268185927,0.209404355773394,12.1452680188854,0.00230509356897345,0.0220648216539101,1,"TNK1"
"ENSG00000174307",1090.94494604217,0.0843105323438248,0.220145791490311,24.2313596008763,5.47302104571962e-06,0.000837214344388014,1,"PHLDA3"
"ENSG00000174839",809.158731127159,-0.0973942246344322,0.160693416850711,18.4089874837553,0.000100586375499833,0.00378958793626153,1,"DENND6A"
"ENSG00000175104",391.745517039315,-0.111632491981626,0.121943319691698,12.5473107373215,0.0018853244164729,0.0199017475710277,1,"TRAF6"
"ENSG00000175105",497.636448684796,-0.271595908715723,0.203324540049407,14.7675153661427,0.000621261988676411,0.0103872021356824,1,"ZNF654"
"ENSG00000175121",26.0583418004238,-3.12990962820299,1.03147716074058,17.9169841269513,0.00012864008864045,0.00429944363483386,1,"WFDC5"
"ENSG00000175137",1259.70547817521,-0.0923675071163587,0.253258898038277,15.7639536250146,0.000377486099485822,0.00805016937898116,1,"SH3BP5L"
"ENSG00000175166",3894.64324986829,-0.0734546901685733,0.114866507786409,11.4513717812936,0.00326111573992724,0.0272079284564968,1,"PSMD2"
"ENSG00000175315",542.306437126002,-0.634011902162923,0.682211890622738,19.2889624104336,6.47821014327816e-05,0.00292789332867648,1,"CST6"
"ENSG00000175376",510.601415347628,-0.291049065984966,0.181826942920434,13.060539058439,0.00145861265806966,0.0174081536213279,1,"EIF1AD"
"ENSG00000175416",5205.85944184634,-0.220750727122958,0.307988945135504,23.8006282299659,6.78827217445261e-06,0.000878005057100542,1,"CLTB"
"ENSG00000175984",1276.86722903212,-0.220779370228241,0.247859376389551,12.3532414709663,0.00207743621290308,0.0209044482675996,1,"DENND2C"
"ENSG00000176014",1171.26679606956,-0.241230402610497,0.501707933984055,20.2907280366289,3.92576582423093e-05,0.00220689075963568,1,"TUBB6"
"ENSG00000176087",1730.85991101839,-0.240327812426497,0.116870885284368,10.4452071949732,0.0053932689294075,0.0366184414731521,1,"SLC35A4"
"ENSG00000176092",1288.66468599602,-0.87117286059186,0.471858356217814,21.5260231746996,2.11681770338441e-05,0.00157858542257754,1,"CRYBG2"
"ENSG00000176101",1046.38899572359,0.0881413355321983,0.138998055096597,12.8834004417067,0.00159369474278339,0.0181164870154933,1,"SSNA1"
"ENSG00000176170",1043.82582497951,-0.668516364860318,0.410964825117679,25.0345842525971,3.66276538455813e-06,0.00073378617517952,1,"SPHK1"
"ENSG00000176531",503.458436713938,-0.0360408136034109,0.335240900841751,16.7066391109764,0.000235613088108121,0.00607515173211036,1,"PHLDB3"
"ENSG00000176624",670.742890186119,-0.254212970764176,0.164513212661303,10.7744997381243,0.00457453662717336,0.0331857287741454,1,"MEX3C"
"ENSG00000176720",710.196632660806,-0.314005812609354,0.248917606644327,14.2776952025752,0.000793666189560396,0.0120251765806822,1,"BOK"
"ENSG00000176834",1015.30729124637,-0.345603465884299,0.279160880825988,13.6895335157878,0.00106501461395237,0.0144102800855756,1,"VSIG10"
"ENSG00000176994",606.092561614696,-0.451339164835764,0.2224333446977,18.5631942670415,9.31222759234832e-05,0.00365798095720171,1,"SMCR8"
